
time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,
0.083393,-0.0638,0.2059,1.0014,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.087555,-0.0846,0.2404,0.9269,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.089481,-0.1317,0.2563,0.9332,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.091088,-0.1689,0.2716,0.9347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
0.092640,-0.1689,0.2716,0.9347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,-10.2938,-40.2938,-19.4062,0.0000,0.0000,0.0000,
0.099469,-0.1689,0.2716,0.9347,0.0000,0.0000,0.0000,0.0027,0.0176,-0.0352,-10.2938,-40.2938,-19.4062,0.0000,0.0000,0.0000,
0.101372,-0.1689,0.2716,0.9347,0.0000,0.0000,0.0000,0.0027,0.0176,-0.0352,-10.2938,-40.2938,-19.4062,156.3484,-20.2288,-6.6410,
0.102933,-0.1689,0.2716,0.9347,-0.4802,-0.6606,-0.1717,0.0027,0.0176,-0.0352,-10.2938,-40.2938,-19.4062,156.3484,-20.2288,-6.6410,
0.157860,-0.1689,0.2716,0.9347,-0.4802,-0.6606,-0.1717,0.0027,0.0176,-0.0352,-10.1438,-39.9563,-19.4250,156.3484,-20.2288,-6.6410,
0.160692,-0.1312,0.2848,0.8582,-0.4802,-0.6606,-0.1717,0.0027,0.0176,-0.0352,-10.1438,-39.9563,-19.4250,156.3484,-20.2288,-6.6410,
0.162097,-0.1185,0.2877,0.8785,-0.4802,-0.6606,-0.1717,0.0027,0.0176,-0.0352,-10.1438,-39.9563,-19.4250,156.3484,-20.2288,-6.6410,
